time,Satellite_No.,Satellite_Angle,Satellite_Azimuth,C/No,lan,lon,alt
110841.958,10,75,298,46,2459.5547,12117.6192,71.8
110841.958,28,38,261,42,2459.5547,12117.6192,71.8
110841.958,32,37,323,32,2459.5547,12117.6192,71.8
110841.958,25,60,125,26,2459.5547,12117.6192,71.8
110841.958,23,59,160,28,2459.5547,12117.6192,71.8
110846.954,10,75,297,46,2459.5577,12117.6166,71.8
110846.954,28,38,261,43,2459.5577,12117.6166,71.8
110846.954,32,38,324,32,2459.5577,12117.6166,71.8
110846.954,25,60,124,25,2459.5577,12117.6166,71.8
110846.954,23,59,160,29,2459.5577,12117.6166,71.8
110851.958,10,75,297,46,2459.5546,12117.6173,71.8
110851.958,28,38,261,42,2459.5546,12117.6173,71.8
110851.958,32,38,324,31,2459.5546,12117.6173,71.8
110851.958,25,60,124,24,2459.5546,12117.6173,71.8
110851.958,23,59,160,28,2459.5546,12117.6173,71.8
110856.958,10,75,297,46,2459.5535,12117.6171,71.8
110856.958,28,38,261,41,2459.5535,12117.6171,71.8
110856.958,32,38,324,32,2459.5535,12117.6171,71.8
110856.958,25,60,124,19,2459.5535,12117.6171,71.8
110856.958,23,59,160,27,2459.5535,12117.6171,71.8
110856.958,18,8,188,20,2459.5535,12117.6171,71.8
110901.954,10,75,297,44,2459.5533,12117.6167,71.8
110901.954,28,38,261,39,2459.5533,12117.6167,71.8
110901.954,32,38,324,31,2459.5533,12117.6167,71.8
110901.954,25,60,124,21,2459.5533,12117.6167,71.8
110901.954,23,59,160,21,2459.5533,12117.6167,71.8
110901.954,18,8,188,15,2459.5533,12117.6167,71.8
110906.954,10,75,297,45,2459.5528,12117.617,71.8
110906.954,28,38,261,41,2459.5528,12117.617,71.8
110906.954,32,38,324,31,2459.5528,12117.617,71.8
110906.954,25,60,124,28,2459.5528,12117.617,71.8
110906.954,23,59,160,23,2459.5528,12117.617,71.8
110906.954,18,8,188,12,2459.5528,12117.617,71.8
110911.958,10,75,297,46,2459.5529,12117.6167,71.8
110911.958,28,38,261,41,2459.5529,12117.6167,71.8
110911.958,32,38,324,32,2459.5529,12117.6167,71.8
110911.958,25,61,124,29,2459.5529,12117.6167,71.8
110911.958,23,59,160,25,2459.5529,12117.6167,71.8
110911.958,18,8,188,12,2459.5529,12117.6167,71.8
110916.958,10,75,297,46,2459.5529,12117.6166,71.8
110916.958,28,38,261,41,2459.5529,12117.6166,71.8
110916.958,32,38,324,32,2459.5529,12117.6166,71.8
110916.958,25,61,124,28,2459.5529,12117.6166,71.8
110916.958,23,59,160,23,2459.5529,12117.6166,71.8
110916.958,18,8,188,12,2459.5529,12117.6166,71.8
110921.954,10,75,297,46,2459.5531,12117.6165,71.8
110921.954,28,38,261,42,2459.5531,12117.6165,71.8
110921.954,32,38,324,33,2459.5531,12117.6165,71.8
110921.954,25,61,124,23,2459.5531,12117.6165,71.8
110921.954,23,59,160,22,2459.5531,12117.6165,71.8
110921.954,18,8,188,14,2459.5531,12117.6165,71.8
110926.954,10,75,297,46,2459.5533,12117.6163,71.8
110926.954,28,38,261,42,2459.5533,12117.6163,71.8
110926.954,32,38,324,33,2459.5533,12117.6163,71.8
110926.954,25,61,124,15,2459.5533,12117.6163,71.8
110926.954,23,59,160,22,2459.5533,12117.6163,71.8
110926.954,18,8,188,15,2459.5533,12117.6163,71.8
110931.958,10,75,297,44,2459.5532,12117.6162,71.8
110931.958,28,38,261,40,2459.5532,12117.6162,71.8
110931.958,32,38,324,32,2459.5532,12117.6162,71.8
110931.958,25,61,124,14,2459.5532,12117.6162,71.8
110931.958,23,59,160,20,2459.5532,12117.6162,71.8
110931.958,18,8,188,15,2459.5532,12117.6162,71.8
110936.958,10,75,297,45,2459.5531,12117.6163,71.8
110936.958,28,38,261,41,2459.5531,12117.6163,71.8
110936.958,32,38,324,33,2459.5531,12117.6163,71.8
110936.958,25,61,124,19,2459.5531,12117.6163,71.8
110936.958,18,8,188,17,2459.5531,12117.6163,71.8
