time,Satellite_No.,Satellite_Angle,Satellite_Azimuth,C/No,lan,lon,alt
105512,10,71,310,41,2459.5657,12117.5753,184.9
105512,23,64,157,22,2459.5657,12117.5753,184.9
105512,28,36,256,36,2459.5657,12117.5753,184.9
105512,32,35,319,26,2459.5657,12117.5753,184.9
105517,10,71,310,41,2459.5657,12117.5753,184.9
105517,23,64,157,21,2459.5657,12117.5753,184.9
105517,28,36,256,36,2459.5657,12117.5753,184.9
105517,32,35,320,26,2459.5657,12117.5753,184.9
105517,21,0,312,20,2459.5657,12117.5753,184.9
105522,10,71,310,40,2459.5657,12117.5753,184.9
105522,23,64,157,20,2459.5657,12117.5753,184.9
105522,28,36,256,36,2459.5657,12117.5753,184.9
105522,32,35,320,26,2459.5657,12117.5753,184.9
105522,24,17,46,16,2459.5657,12117.5753,184.9
105527,10,71,310,40,2459.5657,12117.5753,184.9
105527,23,64,157,21,2459.5657,12117.5753,184.9
105527,28,36,256,36,2459.5657,12117.5753,184.9
105527,32,35,320,26,2459.5657,12117.5753,184.9
105532,10,71,310,40,2459.5657,12117.5753,184.9
105532,23,64,157,22,2459.5657,12117.5753,184.9
105532,28,36,256,37,2459.5657,12117.5753,184.9
105532,32,35,320,26,2459.5657,12117.5753,184.9
105532,18,11,191,19,2459.5657,12117.5753,184.9
105532,31,8,240,20,2459.5657,12117.5753,184.9
105537,10,71,310,40,2459.5657,12117.5753,184.9
105537,23,64,157,23,2459.5657,12117.5753,184.9
105537,28,36,256,37,2459.5657,12117.5753,184.9
105537,18,11,191,19,2459.5657,12117.5753,184.9
105537,31,8,240,20,2459.5657,12117.5753,184.9
105542,10,71,310,41,2459.5657,12117.5753,184.9
105542,23,64,157,22,2459.5657,12117.5753,184.9
105542,28,36,256,37,2459.5657,12117.5753,184.9
105542,32,35,320,25,2459.5657,12117.5753,184.9
105542,18,11,191,19,2459.5657,12117.5753,184.9
105547,10,71,309,41,2459.5657,12117.5753,184.9
105547,23,64,158,21,2459.5657,12117.5753,184.9
105547,28,36,256,37,2459.5657,12117.5753,184.9
105547,18,11,190,20,2459.5657,12117.5753,184.9
105552,10,71,309,41,2459.5657,12117.5753,184.9
105552,23,64,158,21,2459.5657,12117.5753,184.9
105552,28,36,256,37,2459.5657,12117.5753,184.9
105552,24,17,46,19,2459.5657,12117.5753,184.9
105552,18,11,190,20,2459.5657,12117.5753,184.9
105557,10,71,309,41,2459.5657,12117.5753,184.9
105557,23,64,158,21,2459.5657,12117.5753,184.9
105557,28,36,256,37,2459.5657,12117.5753,184.9
105557,24,17,46,15,2459.5657,12117.5753,184.9
105557,18,11,190,20,2459.5657,12117.5753,184.9
105557,15,9,100,19,2459.5657,12117.5753,184.9
105602,10,71,309,42,2459.5657,12117.5753,184.9
105602,23,64,158,20,2459.5657,12117.5753,184.9
105602,28,36,256,37,2459.5657,12117.5753,184.9
105602,18,11,190,19,2459.5657,12117.5753,184.9
105602,21,0,311,21,2459.5657,12117.5753,184.9
105607,10,71,309,42,2459.5657,12117.5753,184.9
105607,23,64,158,20,2459.5657,12117.5753,184.9
105607,28,36,256,37,2459.5657,12117.5753,184.9
105607,24,17,46,13,2459.5657,12117.5753,184.9
105607,18,11,190,18,2459.5657,12117.5753,184.9
105612,10,71,309,42,2459.5657,12117.5753,184.9
105612,23,64,158,20,2459.5657,12117.5753,184.9
105612,28,36,256,38,2459.5657,12117.5753,184.9
105612,18,11,190,16,2459.5657,12117.5753,184.9
105612,31,9,240,18,2459.5657,12117.5753,184.9
105617,10,72,308,42,2459.5657,12117.5753,184.9
105617,23,64,158,21,2459.5657,12117.5753,184.9
105617,25,58,132,20,2459.5657,12117.5753,184.9
105617,28,36,256,38,2459.5657,12117.5753,184.9
105617,18,11,190,14,2459.5657,12117.5753,184.9
105622,10,72,308,42,2459.5657,12117.5753,184.9
105622,23,64,158,20,2459.5657,12117.5753,184.9
105622,28,36,256,38,2459.5657,12117.5753,184.9
105622,18,11,190,14,2459.5657,12117.5753,184.9
105627,10,72,308,42,2459.5657,12117.5753,184.9
105627,23,64,158,19,2459.5657,12117.5753,184.9
105627,28,36,256,38,2459.5657,12117.5753,184.9
105627,18,11,190,13,2459.5657,12117.5753,184.9
105627,31,9,240,16,2459.5657,12117.5753,184.9
105632,10,72,308,42,2459.5657,12117.5753,184.9
105632,23,64,158,18,2459.5657,12117.5753,184.9
105632,28,36,256,38,2459.5657,12117.5753,184.9
105632,21,1,311,14,2459.5657,12117.5753,184.9
105637,10,72,308,42,2459.5657,12117.5753,184.9
105637,23,64,158,16,2459.5657,12117.5753,184.9
105637,25,58,132,20,2459.5657,12117.5753,184.9
105637,28,36,256,38,2459.5657,12117.5753,184.9
105637,21,1,311,20,2459.5657,12117.5753,184.9
105642,10,72,308,42,2459.5657,12117.5753,184.9
105642,23,64,158,16,2459.5657,12117.5753,184.9
105642,28,36,256,38,2459.5657,12117.5753,184.9
105642,21,1,311,18,2459.5657,12117.5753,184.9
105647,10,72,308,42,2459.5796,12117.5689,170.6
105647,28,36,257,38,2459.5796,12117.5689,170.6
105652,10,72,308,42,2459.5846,12117.5655,170.2
105652,28,36,257,39,2459.5846,12117.5655,170.2
105657,10,72,308,42,2459.5814,12117.5659,172.5
105657,28,36,257,39,2459.5814,12117.5659,172.5
105657,32,35,320,21,2459.5814,12117.5659,172.5
105657,31,9,240,18,2459.5814,12117.5659,172.5
105702,10,72,308,42,2459.5841,12117.5654,170
105702,28,36,257,38,2459.5841,12117.5654,170
105702,32,35,320,21,2459.5841,12117.5654,170
105702,18,11,190,19,2459.5841,12117.5654,170
105707,10,72,308,42,2459.5841,12117.5654,170
105707,23,63,158,12,2459.5841,12117.5654,170
105707,28,36,257,39,2459.5841,12117.5654,170
105707,21,1,311,19,2459.5841,12117.5654,170
105712,10,72,308,42,2459.5841,12117.5654,170
105712,23,63,158,11,2459.5841,12117.5654,170
105712,28,36,257,39,2459.5841,12117.5654,170
105712,32,35,320,23,2459.5841,12117.5654,170
105717,10,72,307,43,2459.5841,12117.5654,170
105717,28,36,257,39,2459.5841,12117.5654,170
105717,32,36,320,23,2459.5841,12117.5654,170
105717,15,9,101,17,2459.5841,12117.5654,170
105722,10,72,307,43,2459.5841,12117.5654,170
105722,28,36,257,39,2459.5841,12117.5654,170
105722,32,36,320,23,2459.5841,12117.5654,170
105722,24,16,46,19,2459.5841,12117.5654,170
105727,10,72,307,43,2459.5841,12117.5654,170
105727,28,36,257,39,2459.5841,12117.5654,170
105727,32,36,320,24,2459.5841,12117.5654,170
105732,10,72,307,43,2459.5841,12117.5654,170
105732,25,58,131,17,2459.5841,12117.5654,170
105732,28,36,257,40,2459.5841,12117.5654,170
105732,32,36,320,25,2459.5841,12117.5654,170
105732,18,11,190,16,2459.5841,12117.5654,170
105737,10,72,307,43,2459.5852,12117.5696,159.8
105737,28,36,257,40,2459.5852,12117.5696,159.8
105737,32,36,320,24,2459.5852,12117.5696,159.8
105742,10,72,307,42,2459.5845,12117.5704,159.2
105742,25,58,131,26,2459.5845,12117.5704,159.2
105742,28,36,257,40,2459.5845,12117.5704,159.2
